제품명,이미지 링크,가격(원),에너지 소비효율 등급,소비전력(W),화면사이즈(cm),해상도,디스플레이 종류,주사율(Hz),운영체제,스피커 출력(W),스탠드 제외 크기(mm),스탠드 제외 무게(kg),제품 사용 설명서
LG Micro RGB evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10794841/gallery/medium-interior01.jpg,"16,500,000원",비대상 (8K / 화면대각선 216cm 초과 모델은 비대상임),0.5W↓,252 cm,"4K UHD (3,840 x 2,160)",Micro RGB,120Hz (VRR 최대 165Hz),webOS 26,40W,"2,230 x 1,277 x 49.9",67.3,https://gscs-b2c.lge.com/open/downloadFile?fileId=7g7LHiPnQ0ArCiR4LHqw
LG 일반 LED TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10791858/gallery/medium-interior01.jpg,,1등급,0.5W↓,80 cm,"HD (1,366 x 768)",LED,60Hz,webOS 26,10W,719 x 430 x 71,3.5,https://gscs-b2c.lge.com/open/downloadFile?fileId=TjlDdINPPzfddamy19qPw
LG 일반 LED TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10791858/gallery/medium-interior01.jpg,"450,000원",1등급,0.5W↓,80 cm,"HD (1,366 x 768)",LED,60Hz,webOS 26,10W,719 x 430 x 71,3.5,https://gscs-b2c.lge.com/open/downloadFile?fileId=0NoWMrt8yVoskJzWsA0PQ
LG 일반 LED TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10791858/gallery/medium-interior01.jpg,"450,000원",1등급,0.5W↓,80 cm,"HD (1,366 x 768)",LED,60Hz,webOS 26,10W,719 x 430 x 71,3.5,https://gscs-b2c.lge.com/open/downloadFile?fileId=75XPYjWun9r8hRTu67XYZQ
LG 일반 LED TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10272836/gallery/medium-interior01.jpg,"450,000원",1등급,35.4,80 cm,"HD (1,366 x 768)",LED,60Hz,,,736 x 437 x 82.9,4.65,https://gscs-b2c.lge.com/open/downloadFile?fileId=jytE7EazXXVwNlvD2gJNA
LG 일반 LED TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md09460826/gallery/medium-interior01.jpg,"450,000원",1등급,35.4,80 cm,"HD (1,366 x 768)",LED,60,,,736 x 437 x 82.9,4.65,https://gscs-b2c.lge.com/open/downloadFile?fileId=Ex9qS4JM4rw8JMiuAv1ag
LG 일반 LED TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md08989826/gallery/medium-interior01.jpg,"670,000원",1등급,68,107 cm,Full HD,LED,60,,,,,https://gscs-b2c.lge.com/open/downloadFile?fileId=uSOwcIc6Jp7AomqluWMnVA
LG 나노셀 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10543866/gallery/medium-interior01.jpg,,1등급,0.5W↓,107 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,968 x 565 x 29.7,9.3,https://gscs-b2c.lge.com/open/downloadFile?fileId=lseYPJquAt2IbefvmHmSfw
LG 나노셀 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10573857/gallery/medium-interior01.jpg,"1,040,000원",1등급,0.5W↓,107 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,967 x 564 x 57.1,8.8,https://gscs-b2c.lge.com/open/downloadFile?fileId=uJSS2X4KrryK1zI7kl9g
LG 나노셀 AI (벽걸이형),https://www.lge.co.kr/kr/images/tvs/md10543867/gallery/medium-interior01.jpg,"1,140,000원",1등급,0.5W↓,107 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,968 x 565 x 29.7,9.3,https://gscs-b2c.lge.com/open/downloadFile?fileId=SYXWGBoQGm0L68TTrL8woQ
