제품명,이미지 링크,가격(원),에너지 소비효율 등급,정격소비전력(W),크기(청소기 본체),크기(올인원 타워),무게(청소기 본체),무게(올인원 타워),색상(청소기 본체),최대 흡입력(W),배터리 포함 수(개),제품 사용 설명서
LG 코드제로 오브제컬렉션 A7 Core,https://www.lge.co.kr/kr/images/vacuum-cleaners/md10572836/gallery/medium-interior01.jpg,"900,000원",해당없음,350,"250 x 1,120 x 260","255 x 1,009 x 297",2.47,9.7,카밍 베이지,220,1 (싱글),https://gscs-b2c.lge.com/open/downloadFile?fileId=R7gAjp2pyJlWCe61RZANwA
LG 코드제로 오브제컬렉션 A7 Core,https://www.lge.co.kr/kr/images/vacuum-cleaners/md10536826/gallery/medium-interior01.jpg,,해당없음,350,"250 x 1,120 x 260","255 x 1,009 x 297",2.47,9.7,카밍 베이지,220,1 (싱글),https://gscs-b2c.lge.com/open/downloadFile?fileId=R7gAjp2pyJlWCe61RZANwA
LG 코드제로 오브제컬렉션 A7 Core,https://www.lge.co.kr/kr/images/vacuum-cleaners/md10572836/gallery/medium-interior01.jpg,"1,041,000원",해당없음,350,"250 x 1,120 x 260","255 x 1,009 x 297",2.47,9.7,카밍 베이지,220,1 (싱글),https://gscs-b2c.lge.com/open/downloadFile?fileId=R7gAjp2pyJlWCe61RZANwA
LG 코드제로 오브제컬렉션 A7 Core,https://www.lge.co.kr/kr/images/vacuum-cleaners/md10572836/gallery/medium-interior01.jpg,"1,130,000원",해당없음,350,"250 x 1,120 x 260","255 x 1,009 x 297",2.47,9.7,카밍 베이지,220,1 (싱글),https://gscs-b2c.lge.com/open/downloadFile?fileId=R7gAjp2pyJlWCe61RZANwA
LG 코드제로 AI 오브제컬렉션 A9,https://www.lge.co.kr/kr/images/vacuum-cleaners/md10624830/gallery/medium-interior01.jpg,"1,331,000원",해당없음,400,"300 x 1,100 x 245","256 x 1,009 x 298",2.54,9.2,크림 스카이,320,1 (싱글),https://gscs-b2c.lge.com/open/downloadFile?fileId=oq57YItH34kmfzLinDLRLg
LG 코드제로 AI 오브제컬렉션 A9,https://www.lge.co.kr/kr/images/vacuum-cleaners/md10602827/gallery/medium-interior01.jpg,"1,330,000원",해당없음,400,"300 x 1,100 x 245","256 x 1,009 x 298",2.54,9.2,카밍 베이지,320,1 (싱글),https://gscs-b2c.lge.com/open/downloadFile?fileId=oq57YItH34kmfzLinDLRLg
LG 코드제로 AI 오브제컬렉션 A9,https://www.lge.co.kr/kr/images/vacuum-cleaners/md10602827/gallery/medium-interior01.jpg,"1,410,000원",해당없음,400,"300 x 1,100 x 245","256 x 1,009 x 298",2.54,9.2,카밍 베이지,320,1 (싱글),https://gscs-b2c.lge.com/open/downloadFile?fileId=oq57YItH34kmfzLinDLRLg
LG 코드제로 AI 오브제컬렉션 A9,https://www.lge.co.kr/kr/images/vacuum-cleaners/md10587828/gallery/medium-interior01.jpg,"1,610,000원",해당없음,400,"300 x 1,100 x 245","256 x 1,009 x 298",2.54,9.2,카밍 베이지,320,2 (듀얼),https://gscs-b2c.lge.com/open/downloadFile?fileId=IajH95xESWveacUquDKcg
LG 코드제로 AI 오브제컬렉션 A9,https://www.lge.co.kr/kr/images/vacuum-cleaners/md10756827/gallery/medium-interior01.jpg,"1,710,000원",해당없음,400,"300 x 1,100 x 245","256 x 1,009 x 298",2.51,9.2,카밍 베이지,320,2 (듀얼),https://gscs-b2c.lge.com/open/downloadFile?fileId=IajH95xESWveacUquDKcg
LG 코드제로 AI 오브제컬렉션 A9,https://www.lge.co.kr/kr/images/vacuum-cleaners/md10587827/gallery/medium-interior01.jpg,"1,691,000원",해당없음,400,"300 x 1,100 x 245","256 x 1,009 x 298",2.54,9.2,카밍 베이지,320,2 (듀얼),https://gscs-b2c.lge.com/open/downloadFile?fileId=IajH95xESWveacUquDKcg
LG 코드제로 AI 오브제컬렉션 A9,https://www.lge.co.kr/kr/images/vacuum-cleaners/md10756826/gallery/medium-interior01.jpg,"1,791,000원",해당없음,400,"300 x 1,100 x 245","256 x 1,009 x 298",2.51,9.2,카밍 베이지,320,2 (듀얼),https://gscs-b2c.lge.com/open/downloadFile?fileId=IajH95xESWveacUquDKcg
LG 코드제로 A5,https://www.lge.co.kr/kr/images/vacuum-cleaners/md10555910/gallery/medium-interior01.jpg,"650,000원",해당없음,250,"251 x 1,026 x 242",,1.97,,에센스 화이트,150,1 (싱글),https://gscs-b2c.lge.com/open/downloadFile?fileId=Jq8uLGTEugWVdrdlt0aaXQ
LG 코드제로 A5,https://www.lge.co.kr/kr/images/vacuum-cleaners/md10555907/gallery/medium-interior01.jpg,"650,000원",해당없음,250,"251 x 1,026 x 242",,1.97,,카밍 베이지,150,1 (싱글),https://gscs-b2c.lge.com/open/downloadFile?fileId=Jq8uLGTEugWVdrdlt0aaXQ
LG 코드제로 A5,https://www.lge.co.kr/kr/images/vacuum-cleaners/md10572835/gallery/medium-interior01.jpg,"750,000원",해당없음,250,"251 x 1,026 x 242",,1.97,,에센스 화이트,150,1 (싱글),https://gscs-b2c.lge.com/open/downloadFile?fileId=o3Kxb7bkIi0EykgD7khrGQ
