제품명,이미지 링크,가격(원),에너지 소비효율등급,소비전력(W),세탁 용량(kg),건조 용량(kg),크기(mm),무게(kg),색상,도어 디자인,조작 및 표현방식,물온도,탈수선택,제품 사용 설명서
LG 트롬 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md09853827/gallery/medium-interior01.jpg,"1,150,000원",1등급,"2,000",12,,600 x 850 x 615,73.0,모던 스테인리스,"600 x 850 x 1,145",다이얼+푸시버튼 및 LED 디스플레이,"냉수, 30, 40, 60, 95℃",O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=IEswLl1yVo2eq6NubIuoog
LG 트롬 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md08748629/gallery/medium-interior01.jpg,"1,050,000원",1등급,"2,000",12,,600 x 850 x 615,73.0,릴리 화이트,"600 x 850 x 1,145",다이얼+푸시버튼 및 LED 디스플레이,"냉수, 30, 40, 60, 95℃",O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=fQGOZDTpaB0Hmc4GyUmA
LG 트롬 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md09769828/gallery/medium-interior01.jpg,"1,250,000원",1등급,"2,000",15,,645 x 940 x 770,78.0,스테인리스 블랙,"645x940x1,280",다이얼 + LED 터치 디스플레이,"냉수, 30, 40, 60, 95℃",O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=K8koG4SMFG3C8I691aCEw
LG 트롬 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10455831/gallery/medium-interior01.jpg,"1,250,000원",1등급,"2,000",17,,650x950x780,80.0,글로우 에센스 화이트(유광),"650x950x1,280",다이얼+풀터치버튼 및 LED 디스플레이,"냉수, 20, 40, 60, 95℃",O 있음,
LG 트롬 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10455832/gallery/medium-interior01.jpg,"1,200,000원",3등급,"2,000",17,,650x950x780,80.0,에센스 그라파이트(무광),"650x950x1,280",다이얼+풀터치버튼 및 LED 디스플레이,"냉수, 20, 40, 60, 95℃",O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=gF42sQCUpR317OP4i4HQwg
LG 트롬 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10455832/gallery/medium-interior01.jpg,"1,310,000원",1등급,"2,000",17,,650x950x780,80.0,에센스 그라파이트(무광),"650x950x1,280",다이얼+풀터치버튼 및 LED 디스플레이,"냉수, 20, 40, 60, 95℃",O 있음,
LG 트롬 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10649846/gallery/medium-interior01.jpg,"1,300,000원",1등급,"2,000",17,,650x950x780,80.0,네이처 에센스 화이트(무광),"650x950x1,280",다이얼+풀터치버튼 및 LED 디스플레이,"냉수, 20, 40, 60, 95℃",O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=3j0bcVuSe6RF3OsAmoyA
LG 트롬 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10649845/gallery/medium-interior01.jpg,"1,200,000원",3등급,"2,000",17,,650x950x780,80.0,네이처 에센스 블랙,"650x950x1,280",다이얼+풀터치버튼 및 LED 디스플레이,"냉수, 20, 40, 60, 95℃",O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=gF42sQCUpR317OP4i4HQwg
LG 트롬 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10649845/gallery/medium-interior01.jpg,"1,300,000원",1등급,"2,000",17,,650x950x780,80.0,네이처 에센스 블랙,"650x950x1,280",다이얼+풀터치버튼 및 LED 디스플레이,"냉수, 20, 40, 60, 95℃",O 있음,
LG 트롬 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md09786827/gallery/medium-interior01.jpg,"1,450,000원",1등급,"2,100",19,,700 x 990 x 770,92.0,화이트,"700 x 990 x 1,360",다이얼 + LED 터치 디스플레이,"냉수, 30, 40, 60, 95℃",O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=bzAl77mRj92E2ivWphyiqg
