제품명,이미지 링크,가격(원),에너지 소비효율등급,냉방 소비전력(W),냉방능력(W),정격전압(V),실외기 크기(mm),실내기 크기(mm),냉방면적(㎡),바람세기,제습,색상,제품사용설명서
LG 휘센 오브제컬렉션 타워II 에어컨 2in1 (4시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10302855/gallery/medium-interior01.jpg,,2등급,"1,830 / 310","6,500 / 1,600","220, 60",870 x 650 x 330,"380 x 1,915 x 295",71.5(52.8+18.7),5단계,O 있음,크림 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=CSr78KtELvOMwqG5DMlLw
LG 휘센 AI 오브제컬렉션 뷰I 프로 에어컨 2in1 (6시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10495867/gallery/medium-interior01.jpg,"4,107,000원",2등급,"2,100 / 310","7,200 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",71.5(52.8+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=CtIk6J6F6mXmEPYS6XYVZA
LG 휘센 오브제컬렉션 타워II 에어컨 2in1 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10302862/gallery/medium-interior01.jpg,,2등급,"2,070 / 310","7,000 / 1,600","220, 60",870 x 650 x 330,"380 x 1,915 x 295",75.6(56.9+18.7),5단계,O 있음,카밍 베이지,https://gscs-b2c.lge.com/open/downloadFile?fileId=CSr78KtELvOMwqG5DMlLw
LG 휘센 오브제컬렉션 타워II 에어컨 2in1 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10397832/gallery/medium-interior01.jpg,,2등급,"2,070 / 310","7,000 / 1,600","220, 60",870 x 650 x 330,"380 x 1,915 x 295",75.6(56.9+18.7),5단계,O 있음,카밍 베이지,https://gscs-b2c.lge.com/open/downloadFile?fileId=CSr78KtELvOMwqG5DMlLw
LG 휘센 오브제컬렉션 타워II 에어컨 2in1 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10396871/gallery/medium-interior01.jpg,,2등급,"2,070 / 310","7,000 / 1,600","220, 60",870 x 650 x 330,"380 x 1,915 x 295",75.6(56.9+18.7),5단계,O 있음,크림 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=CSr78KtELvOMwqG5DMlLw
LG 휘센 오브제컬렉션 타워II 에어컨 2in1 (2시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10396863/gallery/medium-interior01.jpg,,2등급,"2,070 / 310","7,000 / 1,600","220, 60",870 x 650 x 330,"380 x 1,915 x 295",75.6(56.9+18.7),5단계,O 있음,카밍 베이지,https://gscs-b2c.lge.com/open/downloadFile?fileId=CSr78KtELvOMwqG5DMlLw
LG 휘센 오브제컬렉션 뷰II 에어컨 싱글 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10382826/gallery/medium-interior01.jpg,,3등급,"2,080 / 320","7,000 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",56.9,5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=ditrBeCvVWBXk8ETocZrQ
LG 휘센 오브제컬렉션 뷰II 에어컨 2in1 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10462826/gallery/medium-interior01.jpg,,3등급,"2,080 / 320","7,000 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",75.6(56.9+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=ditrBeCvVWBXk8ETocZrQ
LG 휘센 오브제컬렉션 뷰II 에어컨 2in1 (1시리즈) + 뷰케이스,https://www.lge.co.kr/kr/images/air-conditioners/md10436850/gallery/medium-interior01.jpg,,3등급,"2,080 / 320","7,000 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",75.6(56.9+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=ditrBeCvVWBXk8ETocZrQ
LG 휘센 오브제컬렉션 뷰II 에어컨 2in1 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10462826/gallery/medium-interior01.jpg,,3등급,"2,080 / 320","7,000 / 1,600","220, 60",870x650x330,"350 x 1,840 x 295",75.6(56.9+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=ditrBeCvVWBXk8ETocZrQ
LG 휘센 오브제컬렉션 쿨 에어컨 2in1 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10560846/gallery/medium-interior02.jpg,"2,945,000원",3등급,"2,350 / 310","7,000 / 2,400","220, 60",870x650x330,"350 x 1,795 x 266",75.6(56.9+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=HZtfnmMP7cpxSJ5TcMtT3w
LG 휘센 오브제컬렉션 쿨 에어컨 2in1 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10560847/gallery/medium-interior02.jpg,"2,650,000원",3등급,"2,350 / 310","7,000 / 2,400","220, 60",870x650x330,"350 x 1,795 x 266",75.6(56.9+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=HZtfnmMP7cpxSJ5TcMtT3w
LG 휘센 오브제컬렉션 쿨 에어컨 2in1 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10560847/gallery/medium-interior02.jpg,,3등급,"2,350 / 310","7,000 / 2,400","220, 60",870x650x330,"350 x 1,795 x 266",75.6(56.9+18.7),5단계,O 있음,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=HZtfnmMP7cpxSJ5TcMtT3w
