product_code,name,img_link,price,proficiency_level,power_consum(W),cool_cap(W),voltage(V),hertz(Hz),in_width(mm),in_height(mm),in_depth(mm),out_width(mm),out_height(mm),out_depth(mm),coverage(㎡),wind_speed(level),dehumid,color,manual_link
ACT000,LG 휘센 오브제컬렉션 타워II 에어컨 2in1 (4시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10302855/gallery/medium-interior01.jpg,,2,1830,6500,220,60,380,1915,295,870,650,330,71.5,5,1,크림 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=CSr78KtELvOMwqG5DMlLw
ACT001,LG 휘센 AI 오브제컬렉션 뷰I 프로 에어컨 2in1 (6시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10495867/gallery/medium-interior01.jpg,4107000,2,2100,7200,220,60,350,1840,295,870,650,330,71.5,5,1,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=CtIk6J6F6mXmEPYS6XYVZA
ACT002,LG 휘센 오브제컬렉션 타워II 에어컨 2in1 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10302862/gallery/medium-interior01.jpg,,2,2070,7000,220,60,380,1915,295,870,650,330,75.6,5,1,카밍 베이지,https://gscs-b2c.lge.com/open/downloadFile?fileId=CSr78KtELvOMwqG5DMlLw
ACT003,LG 휘센 오브제컬렉션 타워II 에어컨 2in1 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10397832/gallery/medium-interior01.jpg,,2,2070,7000,220,60,380,1915,295,870,650,330,75.6,5,1,카밍 베이지,https://gscs-b2c.lge.com/open/downloadFile?fileId=CSr78KtELvOMwqG5DMlLw
ACT004,LG 휘센 오브제컬렉션 타워II 에어컨 2in1 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10396871/gallery/medium-interior01.jpg,,2,2070,7000,220,60,380,1915,295,870,650,330,75.6,5,1,크림 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=CSr78KtELvOMwqG5DMlLw
ACT005,LG 휘센 오브제컬렉션 타워II 에어컨 2in1 (2시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10396863/gallery/medium-interior01.jpg,,2,2070,7000,220,60,380,1915,295,870,650,330,75.6,5,1,카밍 베이지,https://gscs-b2c.lge.com/open/downloadFile?fileId=CSr78KtELvOMwqG5DMlLw
ACT006,LG 휘센 오브제컬렉션 뷰II 에어컨 싱글 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10382826/gallery/medium-interior01.jpg,,3,2080,7000,220,60,350,1840,295,870,650,330,56.9,5,1,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=ditrBeCvVWBXk8ETocZrQ
ACT007,LG 휘센 오브제컬렉션 뷰II 에어컨 2in1 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10462826/gallery/medium-interior01.jpg,,3,2080,7000,220,60,350,1840,295,870,650,330,75.6,5,1,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=ditrBeCvVWBXk8ETocZrQ
ACT008,LG 휘센 오브제컬렉션 뷰II 에어컨 2in1 (1시리즈) + 뷰케이스,https://www.lge.co.kr/kr/images/air-conditioners/md10436850/gallery/medium-interior01.jpg,,3,2080,7000,220,60,350,1840,295,870,650,330,75.6,5,1,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=ditrBeCvVWBXk8ETocZrQ
ACT009,LG 휘센 오브제컬렉션 뷰II 에어컨 2in1 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10462826/gallery/medium-interior01.jpg,,3,2080,7000,220,60,350,1840,295,870,650,330,75.6,5,1,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=ditrBeCvVWBXk8ETocZrQ
ACT010,LG 휘센 오브제컬렉션 쿨 에어컨 2in1 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10560846/gallery/medium-interior02.jpg,2945000,3,2350,7000,220,60,350,1795,266,870,650,330,75.6,5,1,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=HZtfnmMP7cpxSJ5TcMtT3w
ACT011,LG 휘센 오브제컬렉션 쿨 에어컨 2in1 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10560847/gallery/medium-interior02.jpg,2650000,3,2350,7000,220,60,350,1795,266,870,650,330,75.6,5,1,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=HZtfnmMP7cpxSJ5TcMtT3w
ACT012,LG 휘센 오브제컬렉션 쿨 에어컨 2in1 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10560847/gallery/medium-interior02.jpg,,3,2350,7000,220,60,350,1795,266,870,650,330,75.6,5,1,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=HZtfnmMP7cpxSJ5TcMtT3w
ACT013,LG 휘센 AI 오브제컬렉션 뷰II 에어컨 2in1 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10558826/gallery/medium-interior02.jpg,2942000,3,2080,7000,220,60,350,1840,295,870,650,330,75.6,5,1,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=2Arpmb0HBJ4s18wvcKHcUQ
ACT014,LG 휘센 AI 오브제컬렉션 뷰II 에어컨 2in1 (1시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10558826/gallery/medium-interior02.jpg,,3,2080,7000,220,60,350,1840,295,870,650,330,75.6,5,1,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=2Arpmb0HBJ4s18wvcKHcUQ
ACT015,LG 휘센 AI 오브제컬렉션 뷰II 에어컨 2in1 (1시리즈) + 뷰케이스,https://www.lge.co.kr/kr/images/air-conditioners/md10664833/gallery/medium-interior01.jpg,3042000,3,2080,7000,220,60,350,1840,295,870,650,330,75.6,5,1,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=2Arpmb0HBJ4s18wvcKHcUQ
ACT016,LG 휘센 AI 오브제컬렉션 뷰II 에어컨 2in1 (2시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10558877/gallery/medium-interior01.jpg,,3,2080,7000,220,60,350,1840,295,870,650,330,75.6,5,1,카밍 베이지,https://gscs-b2c.lge.com/open/downloadFile?fileId=2Arpmb0HBJ4s18wvcKHcUQ
ACT017,LG 휘센 AI 오브제컬렉션 뷰II 에어컨 2in1 (2시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10597864/gallery/medium-interior01.jpg,,3,2080,7000,220,60,350,1840,295,870,650,330,75.6,5,1,카밍 베이지,https://gscs-b2c.lge.com/open/downloadFile?fileId=2Arpmb0HBJ4s18wvcKHcUQ
ACT018,LG 휘센 AI 오브제컬렉션 뷰II 에어컨 2in1 (2시리즈),https://www.lge.co.kr/kr/images/air-conditioners/md10558866/gallery/medium-interior02.jpg,3108000,3,2080,7000,220,60,350,1840,295,870,650,330,75.6,5,1,에센스 화이트,https://gscs-b2c.lge.com/open/downloadFile?fileId=2Arpmb0HBJ4s18wvcKHcUQ
