product_code,name,img_link,price,proficiency_level,power_consum(W),unit_width(mm),unit_height(mm),unit_depth(mm),tower_width(mm),tower_height(mm),tower_depth(mm),unit_weight(kg),tower_weight(kg),color,suction_power(W),battery_cnt(개),manual_link
VAC000,LG 코드제로 오브제컬렉션 A7 Core,https://www.lge.co.kr/kr/images/vacuum-cleaners/md10572836/gallery/medium-interior01.jpg,900000,,350,250,1120,260,255,1009,297,2.47,9.7,카밍 베이지,220,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=R7gAjp2pyJlWCe61RZANwA
VAC001,LG 코드제로 오브제컬렉션 A7 Core,https://www.lge.co.kr/kr/images/vacuum-cleaners/md10536826/gallery/medium-interior01.jpg,,,350,250,1120,260,255,1009,297,2.47,9.7,카밍 베이지,220,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=R7gAjp2pyJlWCe61RZANwA
VAC002,LG 코드제로 오브제컬렉션 A7 Core,https://www.lge.co.kr/kr/images/vacuum-cleaners/md10572836/gallery/medium-interior01.jpg,1041000,,350,250,1120,260,255,1009,297,2.47,9.7,카밍 베이지,220,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=R7gAjp2pyJlWCe61RZANwA
VAC003,LG 코드제로 오브제컬렉션 A7 Core,https://www.lge.co.kr/kr/images/vacuum-cleaners/md10572836/gallery/medium-interior01.jpg,1130000,,350,250,1120,260,255,1009,297,2.47,9.7,카밍 베이지,220,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=R7gAjp2pyJlWCe61RZANwA
VAC004,LG 코드제로 AI 오브제컬렉션 A9,https://www.lge.co.kr/kr/images/vacuum-cleaners/md10624830/gallery/medium-interior01.jpg,1331000,,400,300,1100,245,256,1009,298,2.54,9.2,크림 스카이,320,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=oq57YItH34kmfzLinDLRLg
VAC005,LG 코드제로 AI 오브제컬렉션 A9,https://www.lge.co.kr/kr/images/vacuum-cleaners/md10602827/gallery/medium-interior01.jpg,1330000,,400,300,1100,245,256,1009,298,2.54,9.2,카밍 베이지,320,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=oq57YItH34kmfzLinDLRLg
VAC006,LG 코드제로 AI 오브제컬렉션 A9,https://www.lge.co.kr/kr/images/vacuum-cleaners/md10602827/gallery/medium-interior01.jpg,1410000,,400,300,1100,245,256,1009,298,2.54,9.2,카밍 베이지,320,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=oq57YItH34kmfzLinDLRLg
VAC007,LG 코드제로 AI 오브제컬렉션 A9,https://www.lge.co.kr/kr/images/vacuum-cleaners/md10587828/gallery/medium-interior01.jpg,1610000,,400,300,1100,245,256,1009,298,2.54,9.2,카밍 베이지,320,2,https://gscs-b2c.lge.com/open/downloadFile?fileId=IajH95xESWveacUquDKcg
VAC008,LG 코드제로 AI 오브제컬렉션 A9,https://www.lge.co.kr/kr/images/vacuum-cleaners/md10756827/gallery/medium-interior01.jpg,1710000,,400,300,1100,245,256,1009,298,2.51,9.2,카밍 베이지,320,2,https://gscs-b2c.lge.com/open/downloadFile?fileId=IajH95xESWveacUquDKcg
VAC009,LG 코드제로 AI 오브제컬렉션 A9,https://www.lge.co.kr/kr/images/vacuum-cleaners/md10587827/gallery/medium-interior01.jpg,1691000,,400,300,1100,245,256,1009,298,2.54,9.2,카밍 베이지,320,2,https://gscs-b2c.lge.com/open/downloadFile?fileId=IajH95xESWveacUquDKcg
