제품명,이미지 링크,가격(원),에너지 소비효율등급,소비전력(W),설치타입,도어 개수,전체 용량(L),냉장 용량(L),냉동 용량(L),제품 크기(mm),무게(kg),색상,도어 재질,냉각방식,스마트 진단,아이스메이커,제품 사용 설명서
LG 트롬 오브제컬렉션 워시타워 + LG 디오스 AI 오브제컬렉션 냉장고 (매직스페이스),https://www.lge.co.kr/kr/images/wash-tower/md10694827/gallery/medium01.jpg,"6,280,000원",세탁기 2등급 / 건조기 1등급,"3,500 (세탁 : 2,100 , 건조 : 1,400)",프리스탠딩,2도어,832,524,308,"700 x 1,890 x 830",전체 161.6 / 세탁 91 / 건조 70.6,네이처 베이지 / 네이처 그린,메탈,멀티냉각방식,O 있음,무빙 도어 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=aYgXp4bXIhCWq82n4TlDPw
LG 트롬 오브제컬렉션 워시타워 + LG 디오스 AI 오브제컬렉션 냉장고 (매직스페이스),https://www.lge.co.kr/kr/images/wash-tower/md10694828/gallery/medium01.jpg,"5,780,000원",세탁기 2등급 / 건조기 1등급,"3,050 (세탁 : 2,100 , 건조 : 950)",프리스탠딩,2도어,832,524,308,"700 x 1,890 x 830",전체 162 / 세탁 91 / 건조 71,릴리 화이트 / 릴리 화이트,메탈,멀티냉각방식,O 있음,무빙 도어 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=MV9VQaiEhpTDC2gAl48w
LG 냉동고,https://www.lge.co.kr/kr/images/refrigerators/md10059826/gallery/medium-interior01.jpg,"700,000원",대상 외 제품,대상 외 제품,,,200,,,"600 x 1,383 x 629 mm",57,퓨어,,직냉식,,,https://gscs-b2c.lge.com/open/downloadFile?fileId=TWci44kPqCpQvo02ORjA
LG 일반냉장고,https://www.lge.co.kr/kr/images/refrigerators/md09845828/gallery/medium-interior01.jpg,"260,000원",4등급,10.2,,,43,43,,443 x 501 x 450,16,퓨어,,직냉식,,,https://gscs-b2c.lge.com/open/downloadFile?fileId=3Ppb5rFuU8tyT5Cj1nLdoQ
LG 일반냉장고,https://www.lge.co.kr/kr/images/refrigerators/md09845826/gallery/medium-interior01.jpg,"320,000원",4등급,19.4,,,90,90,,463 X 820 X 482,22,퓨어,,직냉식,,,
LG 일반냉장고,https://www.lge.co.kr/kr/images/refrigerators/md10318830/gallery/medium-interior01.jpg,"400,000원",4등급,36.1,일반 냉장고,2도어,121,94,27,"475 x 1,170 x 487",28,퓨어,메탈,직냉식,X 제공안함,아이스 트레이,
LG 일반냉장고,https://www.lge.co.kr/kr/images/refrigerators/md09072900/gallery/medium-interior01.jpg,"480,000원",3등급,29.8,,,189,143,46,"555 x 1,400 x 585",39,화이트,,멀티냉각방식,,O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=ImNoab7btZxfOHlZ1rfhvw
LG 일반냉장고,https://www.lge.co.kr/kr/images/refrigerators/md10680828/gallery/medium-interior01.jpg,"593,000원",2등급,28.9,일반 냉장고,2도어,241,185,56,"555 x 1,573 x 637",46,화이트,메탈,멀티냉각방식,X 제공안함,아이스 트레이,https://gscs-b2c.lge.com/open/downloadFile?fileId=dDKdobXaep3sEB3dUC68Q
LG 일반냉장고,https://www.lge.co.kr/kr/images/refrigerators/md09326828/gallery/medium-interior01.jpg,"730,000원",1등급,27.8,,,317,238,79,"600 x 1,640 x 710",57,화이트,네이처 (메탈),멀티냉각방식,,O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=8DX3wkvc1dzwuKQ2ZJHdA
LG 일반냉장고,https://www.lge.co.kr/kr/images/refrigerators/md10647828/gallery/medium-interior01.jpg,"770,000원",1등급,27.8,일반 냉장고,2도어,317,238,79,"600 x 1,640 x 710",54,화이트,메탈,멀티냉각방식,X 제공안함,아이스 트레이,https://gscs-b2c.lge.com/open/downloadFile?fileId=8DX3wkvc1dzwuKQ2ZJHdA
